"plot","Species","Importance Value","time"
"3.4.5","QUKE",175.144786523285,"Pre-fire"
"3.4.6","QUKE",122.222222222222,"Pre-fire"
"4.1.1","QUKE",175.513671721537,"Pre-fire"
"4.1.2","QUKE",209.457374443329,"Pre-fire"
"4.1.3","QUKE",178.332468337687,"Pre-fire"
"4.1.4","QUKE",209.322755297356,"Pre-fire"
"4.1.5","QUKE",161.532476730072,"Pre-fire"
"4.1.6","QUKE",225.100230951541,"Pre-fire"
"4.2.1","QUKE",168.642216388847,"Pre-fire"
"4.2.2","QUKE",192.928585180322,"Pre-fire"
"4.2.3","QUKE",209.140088999995,"Pre-fire"
"4.2.4","QUKE",223.448590582436,"Pre-fire"
